__background__ __background__
lhorn ANIMAL_HORN
rhorn ANIMAL_HORN
muzzle ANIMAL_MUZZLE
lbpa ANIMAL_PAW
lfpa ANIMAL_PAW
rbpa ANIMAL_PAW
rfpa ANIMAL_PAW
beak BIRD_BEAK
lear EAR
rear EAR
leye EYE
reye EYE
lfoot FOOT
rfoot FOOT
head HEAD
lbho HORSE_HOOF
lfho HORSE_HOOF
rbho HORSE_HOOF
rfho HORSE_HOOF
lbleg LEG
lblleg LEG
lbuleg LEG
lfleg LEG
lflleg LEG
lleg LEG
llleg LEG
luleg LEG
lfuleg LEG
rbleg LEG
rblleg LEG
rbuleg LEG
rfleg LEG
rflleg LEG
rleg LEG
rlleg LEG
ruleg LEG
rfuleg LEG
neck NECK
nose NOSE
tail TAIL
torso TORSO
lwing WING
rwing WING
