__background__ __background__
lear EAR
rear EAR
leye EYE
reye EYE
lfoot FOOT
rfoot FOOT
head HEAD
lbleg LEG
lblleg LEG
lbuleg LEG
lfleg LEG
lflleg LEG
lleg LEG
llleg LEG
luleg LEG
lfuleg LEG
rbleg LEG
rblleg LEG
rbuleg LEG
rfleg LEG
rflleg LEG
rleg LEG
rlleg LEG
ruleg LEG
rfuleg LEG
neck NECK
nose NOSE
llarm PERSON_ARM
luarm PERSON_ARM
rlarm PERSON_ARM
ruarm PERSON_ARM
lebrow PERSON_EYEBROW
rebrow PERSON_EYEBROW
hair PERSON_HAIR
lhand PERSON_HAND
rhand PERSON_HAND
mouth PERSON_MOUTH
torso TORSO
